game_id,container,corner_selection_method,corner_rows_selected,requested_frames,found_frames,identified_team_players,positions_extracted,home_team_name,away_team_name
2031614,data/skillcorner/2031614.zip,fallback_all_corner_reception_rows,5,5,5,0,0,,
2031615,data/skillcorner/2031615.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2031616,data/skillcorner/2031616.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2031617,data/skillcorner/2031617.zip,fallback_all_corner_reception_rows,5,5,5,0,0,,
2031618,data/skillcorner/2031618.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2031619,data/skillcorner/2031619.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2031620,data/skillcorner/2031620.zip,fallback_all_corner_reception_rows,7,7,7,0,0,,
2031621,data/skillcorner/2031621.zip,fallback_all_corner_reception_rows,1,1,1,0,0,,
2031622,data/skillcorner/2031622.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2031623,data/skillcorner/2031623.zip,no_corner_reception_rows,0,0,0,0,0,,
2031624,data/skillcorner/2031624.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2031625,data/skillcorner/2031625.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2031724,data/skillcorner/2031724.zip,fallback_all_corner_reception_rows,5,5,5,0,0,,
2031733,data/skillcorner/2031733.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2031734,data/skillcorner/2031734.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2031735,data/skillcorner/2031735.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2031736,data/skillcorner/2031736.zip,fallback_all_corner_reception_rows,6,6,6,0,0,,
2031737,data/skillcorner/2031737.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2034162,data/skillcorner/2034162.zip,no_corner_reception_rows,0,0,0,0,0,,
2034163,data/skillcorner/2034163.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2034189,data/skillcorner/2034189.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2034190,data/skillcorner/2034190.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2034191,data/skillcorner/2034191.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2034192,data/skillcorner/2034192.zip,fallback_all_corner_reception_rows,1,1,1,0,0,,
2034193,data/skillcorner/2034193.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2034194,data/skillcorner/2034194.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2034195,data/skillcorner/2034195.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2034374,data/skillcorner/2034374.zip,no_corner_reception_rows,0,0,0,0,0,,
2034375,data/skillcorner/2034375.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2034405,data/skillcorner/2034405.zip,fallback_all_corner_reception_rows,9,9,9,0,0,,
2034406,data/skillcorner/2034406.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2034407,data/skillcorner/2034407.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2034408,data/skillcorner/2034408.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2034409,data/skillcorner/2034409.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2034410,data/skillcorner/2034410.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2034413,data/skillcorner/2034413.zip,fallback_all_corner_reception_rows,1,1,1,0,0,,
