match_id,match_label,opponent,minute,corner_taker,corner_side,routine_type,corner_length,corner_recipient,delivery_receiver,delivery_zone,shot_phase,shot_generated,first_shot_player,first_shot_xg,total_xg,added_xg,shots_in_sequence,goals_in_sequence,total_obv,team_top6_height,opponent_top6_height,height_gap,corner_start_x,corner_start_y,corner_end_x,corner_end_y,delivery_start_x,delivery_start_y,delivery_end_x,delivery_end_y,first_shot_x,first_shot_y,first_touch_kind,first_touch_player,first_touch_x,first_touch_y,first_touch_end_x,first_touch_end_y
4028847,vs Newcastle United,Newcastle United,25,Raphael Dias Belloli,top,Direct inswing,48.64,Ronald Federico Araújo da Silva,Ronald Federico Araújo da Silva,Far post,No shot,False,No shot,0.0,0.0,0.0,0,0,-0.015571969000000001,185.83333333333334,193.33333333333334,7.5,120.0,0.0,118.1,48.6,120.0,0.0,118.1,48.6,,,Carry,Ronald Federico Araújo da Silva,111.7,48.4,108.3,78.8
4028847,vs Newcastle United,Newcastle United,52,Marcus Rashford,bottom,Short corner,10.52,Fermin Lopez Marin,Marcus Rashford,Edge of box,No shot,False,No shot,0.0,0.0,0.0,0,0,-0.0293964857,185.83333333333334,193.33333333333334,7.5,120.0,0.1,118.4,10.5,117.7,9.3,111.4,4.6,,,Carry,Fermin Lopez Marin,118.4,10.5,117.7,9.3
4028847,vs Newcastle United,Newcastle United,59,Marcus Rashford,bottom,Direct inswing,34.1,Unknown,Fermin Lopez Marin,Central six-yard,No shot,False,No shot,0.0,0.0,0.0,0,0,-0.0130605172,185.83333333333334,193.33333333333334,7.5,120.0,0.1,117.4,34.1,120.0,0.1,117.4,34.1,,,Carry,Fermin Lopez Marin,107.8,6.6,106.9,5.5
4028847,vs Newcastle United,Newcastle United,96,Raphael Dias Belloli,top,Short corner,6.36,Daniel Olmo Carvajal,Raphael Dias Belloli,Edge of box,Second-phase shot,True,Raphael Dias Belloli,0.0409191772,0.0409191772,0.0,1,0,0.0411868029,185.83333333333334,193.33333333333334,7.5,120.0,0.0,117.9,6.0,117.4,5.700000000000003,106.9,2.4000000000000057,105.0,26.200000000000003,Carry,Daniel Olmo Carvajal,117.9,6.0,117.4,5.700000000000003
4028893,vs PSG,PSG,27,Lamine Yamal Nasraoui Ebana,top,Direct inswing,41.0,Unknown,Marcus Rashford,Central six-yard,Immediate shot,True,Marcus Rashford,0.0530257262,0.0530257262,0.0,1,0,0.01157803280000001,186.33333333333334,186.66666666666666,0.3333333333333144,120.0,0.0,117.1,40.9,120.0,0.0,117.1,40.9,103.7,46.7,Shot,Marcus Rashford,105.2,45.9,116.9,39.9
4028893,vs PSG,PSG,45,Marcus Rashford,bottom,Direct inswing,32.1,Unknown,Unknown,Near post,No shot,False,No shot,0.0,0.0,0.0,0,0,-0.0274982955,186.33333333333334,186.66666666666666,0.3333333333333144,120.0,0.1,119.6,32.2,120.0,0.1,119.6,32.2,,,,,,,,
4028893,vs PSG,PSG,56,Marcus Rashford,bottom,Short corner,11.54,Daniel Olmo Carvajal,Pedro González López,Wide recycle,No shot,False,No shot,0.0,0.0,0.0,0,0,-0.0267224079,186.33333333333334,186.66666666666666,0.3333333333333144,120.0,0.1,110.9,7.2,110.9,7.2,94.7,23.4,,,Carry,Daniel Olmo Carvajal,110.9,7.2,110.9,7.2
4028893,vs PSG,PSG,63,Lamine Yamal Nasraoui Ebana,top,Direct inswing,43.21,Marcus Rashford,Marcus Rashford,Penalty spot,No shot,False,No shot,0.0,0.0,0.0,0,0,0.005269684900000007,186.33333333333334,186.66666666666666,0.3333333333333144,120.0,0.0,104.4,40.3,120.0,0.0,104.4,40.3,,,Carry,Marcus Rashford,104.4,40.3,103.5,46.7
4028898,vs Olympiacos Piraeus,Olympiacos Piraeus,14,Marcus Rashford,bottom,Direct other,21.08,Pedro Fernández Sarmiento,Pedro Fernández Sarmiento,Edge of box,No shot,False,No shot,0.0,0.0,0.0,0,0,-0.030013972899999998,185.16666666666666,185.5,0.3333333333333428,120.0,0.1,104.6,14.5,120.0,0.1,104.6,14.5,,,Pass,Pedro Fernández Sarmiento,104.6,14.5,108.7,34.6
4028898,vs Olympiacos Piraeus,Olympiacos Piraeus,32,Marcus Rashford,bottom,Direct inswing,39.45,Jules Koundé,Jules Koundé,Central six-yard,Immediate shot,True,Jules Koundé,0.2417638749,0.2417638749,0.0,1,0,-0.040102466999999975,185.16666666666666,185.5,0.3333333333333428,120.0,0.1,115.6,39.3,120.0,0.1,115.6,39.3,115.6,39.3,Shot,Jules Koundé,115.6,39.3,120.0,46.5
